desgnsuffix,chkey,chdesgnsfxkey
p,65173683,27020359
k,65173749,27022113
t,65173749,27022115
g,65173058,27020372
g,65173059,27020374
g,65173047,27022149
t,65173047,27022151
p,65173048,27022155
p,65171977,27020341
g,65174625,27020593
k,65173748,27022111
g,65173051,27022153
g,65174633,27020605
t,65173684,27020361
p,65174623,27020591
t,65173747,27022109
p,65174637,27020607
t,65173680,27020355
g,65173060,27020376
p,65174619,27020615
p,65174630,27020599
t,65171973,27020343
g,65174626,27020595
p,65173746,27022117
t,65173744,27022102
g,65174638,27020609
g,65174640,27020613
t,65171979,27020345
t,65173681,27020357
t,65173743,27022104
g,65173057,27020370
g,65173053,27020366
g,65174628,27020597
p,65173741,27022100
p,65173678,27020353
g,65174639,27020611
g,65174632,27020603
w,65174621,27020617
p,65173054,27020378
g,65174631,27020601
g,65173056,27020368
