unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,65173683,121589626
ML,No ,65173683,121589627
CL,Yes,65173749,121589736
CL,Yes,65173058,121588680
CL,Yes,65173059,121588681
CL,Yes,65173047,121588662
MH,Yes,65173048,121588663
ML,No ,65173048,121588664
ML,No ,65171977,121587156
CL,Yes,65171977,121587157
CL,Yes,65174625,121590956
CH,No ,65174625,121590957
MH,No ,65173738,121589720
ML,Yes,65173738,121589721
CL,No ,65173738,121589722
CL,Yes,65173685,121589629
CL,Yes,65174624,121590954
CH,No ,65174624,121590955
ML,Yes,65173737,121589718
CL,No ,65173737,121589719
CL,Yes,65171975,121587154
CL,Yes,65173748,121589735
CL,Yes,65173051,121588669
CL,Yes,65174633,121590969
CH,Yes,65174634,121590970
CL,No ,65174634,121590971
CL,Yes,65173684,121589628
MH,No ,65174623,121590952
ML,Yes,65174623,121590953
MH,Yes,65173055,121588676
CL,No ,65173055,121588677
CL,Yes,65173747,121589734
CH,Yes,65174641,121590982
CL,No ,65174641,121590983
CL,Yes,65171969,121587148
CL,Yes,65173050,121588667
CH,No ,65173050,121588668
ML,No ,65174637,121590976
MH,Yes,65174637,121590977
CL,Yes,65174622,121590950
CL-ML,No ,65174622,121590951
CL,Yes,65173680,121589623
CL,Yes,65173060,121588682
CL,No ,65174619,121590945
ML,Yes,65174619,121590946
MH,No ,65173739,121589723
ML,Yes,65173739,121589724
CL,No ,65173739,121589725
ML,No ,65174630,121590964
MH,Yes,65174630,121590965
CL,Yes,65171976,121587155
CL,Yes,65171973,121587152
CL,Yes,65174626,121590958
CL,Yes,65173746,121589733
CL,Yes,65171972,121587151
CH,No ,65173052,121588670
CL,Yes,65173052,121588671
CL,Yes,65173744,121589731
CH,Yes,65174638,121590978
CL,No ,65174638,121590979
CL,Yes,65174640,121590981
CL,Yes,65171979,121587159
CL,Yes,65174627,121590959
CH,No ,65174627,121590960
CL,Yes,65173740,121589726
CL,Yes,65173679,121589622
CL,Yes,65173681,121589624
CL,Yes,65173743,121589730
CL,Yes,65173057,121588679
CL,Yes,65173742,121589729
CL,Yes,65171970,121587149
MH,Yes,65173049,121588665
ML,No ,65173049,121588666
CL,Yes,65171971,121587150
CH,No ,65173053,121588672
CL,Yes,65173053,121588673
CH,No ,65174629,121590962
CL,Yes,65174629,121590963
CL,Yes,65174628,121590961
CL,Yes,65171974,121587153
CL,Yes,65173741,121589727
MH,No ,65173741,121589728
CL,Yes,65173678,121589620
MH,No ,65173678,121589621
CL,Yes,65174639,121590980
CH,Yes,65174635,121590972
CL,No ,65174635,121590973
CL,No ,65174620,121590947
ML,Yes,65174620,121590948
CL,Yes,65173682,121589625
CL,Yes,65174632,121590968
CL,Yes,65171978,121587158
CL,Yes,65173745,121589732
CL,Yes,65174621,121590949
ML,No ,65173054,121588674
MH,Yes,65173054,121588675
CH,Yes,65174631,121590966
CL,No ,65174631,121590967
CL,Yes,65173056,121588678
CH,Yes,65174642,121590984
CL,No ,65174642,121590985
CH,No ,65174636,121590974
CL,Yes,65174636,121590975
