pmgroupname,rvindicator,cokey,copmgrpkey
silty colluvium,Yes,22087231,16257468
silty alluvium,Yes,22087232,16257469
silty colluvium,Yes,22087233,16257470
silty colluvium,Yes,22087234,16257471
subglacial till,Yes,22087244,16257481
gray paleosol and underlying subglacial till,Yes,22087245,16257482
red paleosol and underlying subglacial till,Yes,22087246,16257483
gray paleosol and underlying subglacial till,Yes,22087247,16257484
silty alluvium,Yes,22087253,16257490
clayey alluvium,Yes,22087254,16257491
silty alluvium,Yes,22087255,16257492
silty alluvium,Yes,22087256,16257493
silty alluvium,Yes,22087257,16257494
silty alluvium,Yes,22087271,16257508
silty alluvium,Yes,22087272,16257509
subglacial till,Yes,22087273,16257510
red paleosol and underlying subglacial till,Yes,22087274,16257511
subglacial till,Yes,22087275,16257512
subglacial till,Yes,22087287,16257524
subglacial till,Yes,22087288,16257525
subglacial till,Yes,22087289,16257526
red paleosol and underlying subglacial till,Yes,22087290,16257527
subglacial till,Yes,22087291,16257528
red paleosol and underlying subglacial till,Yes,22087292,16257529
alluvial sediments derived from till,Yes,22087317,16257554
loess,Yes,22087320,16257557
loess,Yes,22087321,16257558
silty alluvium,Yes,22087322,16257559
loess,Yes,22087323,16257560
silty colluvium,Yes,22087324,16257561
silty colluvium,Yes,22087325,16257562
loess,Yes,22087329,16257566
loess,Yes,22087330,16257567
loess,Yes,22087331,16257568
red paleosol and underlying subglacial till,Yes,22087345,16257582
subglacial till,Yes,22087346,16257583
subglacial till,Yes,22087353,16257590
red paleosol and underlying subglacial till,Yes,22087354,16257591
red paleosol and underlying subglacial till,Yes,22087355,16257592
subglacial till,Yes,22087356,16257593
subglacial till,Yes,22087357,16257594
red paleosol and underlying subglacial till,Yes,22087358,16257595
red paleosol and underlying subglacial till,Yes,22087359,16257596
subglacial till,Yes,22087360,16257597
fine-silty loess,Yes,22087891,16258087
fine-loamy till,Yes,22087892,16258088
red paleosol and underlying subglacial till,Yes,22087893,16258089
fine-silty loess,Yes,22087911,16258107
fine-silty loess,Yes,22087912,16258108
fine-loamy till,Yes,22087917,16258113
fine-silty colluvium,Yes,22087918,16258114
fine-silty loess,Yes,22087919,16258115
fine-silty loess,Yes,22088132,16258350
fine-silty loess,Yes,22088133,16258351
fine-silty loess,Yes,22088136,16258354
fine-silty loess,Yes,22088137,16258355
fine-silty loess,Yes,22088142,16258360
fine-silty loess,Yes,22088143,16258361
silty colluvium,Yes,22088147,16258365
fine-silty loess,Yes,22088148,16258366
fine-loamy till,Yes,22088149,16258367
fine-silty loess,Yes,22088158,16258376
clayey loess over gray paleosol and underlying subglacial till,Yes,22088159,16258377
fine-silty loess,Yes,22088160,16258378
clayey loess over gray paleosol and underlying subglacial till,Yes,22088161,16258379
silty alluvium,Yes,22088355,16258583
silty alluvium,Yes,22088356,16258584
sandy alluvium,Yes,22088357,16258585
stratified silty alluvium,Yes,22088358,16258586
silty alluvium,Yes,22088440,16258665
silty alluvium,Yes,22088441,16258666
silty alluvium,Yes,22088442,16258667
silty colluvium,Yes,22088443,16258668
alluvium,Yes,22088444,16258669
silty colluvium,Yes,22088445,16258670
silty alluvium,Yes,22088446,16258671
silty colluvium,Yes,22088447,16258672
silty colluvium,Yes,22088448,16258673
silty alluvium,Yes,22088449,16258674
silty alluvium,Yes,22088450,16258675
fine-silty alluvium,Yes,22088647,16258859
fine-silty alluvium,Yes,22088648,16258860
fine-silty alluvium,Yes,22088651,16258863
fine-silty alluvium,Yes,22088652,16258864
