hillslopeprof,cogeomdkey,cosurfmorhppkey
Footslope,34368451,14317463
Summit,34367713,14316955
Shoulder,34367713,14316953
Summit,34367721,14317122
Shoulder,34367721,14317120
Footslope,34368449,14317461
Summit,34368374,14317164
Summit,34367723,14317126
Shoulder,34367723,14317124
Backslope,34367730,14317154
Backslope,34367728,14317151
Summit,34368372,14317162
Summit,34367715,14316951
Shoulder,34367715,14316949
Toeslope,34368455,14317466
Footslope,34368447,14317468
Toeslope,34368453,14317464
Footslope,34367725,14317129
