taxfamother,cokey,cotaxfokey
not used,22087231,15466326
not used,22087232,15466327
not used,22087233,15466328
not used,22087234,15466272
not used,22087244,15466141
sloping,22087245,15466142
not used,22087246,15466143
not used,22087247,15466144
not used,22087253,15466188
not used,22087254,15466189
not used,22087255,15466190
not used,22087256,15466212
not used,22087257,15466213
not used,22087271,15466268
not used,22087272,15466269
not used,22087273,15466273
not used,22087274,15466274
not used,22087275,15466275
not used,22087287,15466114
not used,22087288,15466115
not used,22087289,15466343
not used,22087290,15466344
not used,22087291,15466116
not used,22087292,15466117
not used,22087317,15466191
not used,22087320,15466353
not used,22087321,15466194
not used,22087322,15466195
not used,22087323,15466196
not used,22087324,15466197
not used,22087325,15466198
not used,22087329,15466204
not used,22087330,15466205
not used,22087331,15466206
not used,22087345,15466247
not used,22087346,15466248
not used,22087353,15466276
not used,22087354,15466277
not used,22087357,15466361
not used,22087358,15466362
not used,22087891,15466109
not used,22087892,15466110
not used,22087893,15466111
not used,22087911,15466308
not used,22087912,15466309
not used,22087917,15466104
not used,22087918,15466105
not used,22087919,15466106
not used,22088132,15466081
not used,22088133,15466082
not used,22088136,15466083
not used,22088137,15466084
not used,22088142,15466087
not used,22088143,15466088
not used,22088147,15466089
not used,22088148,15466090
not used,22088149,15466091
not used,22088158,15466120
not used,22088159,15466121
not used,22088160,15466122
not used,22088161,15466123
not used,22088355,15466124
not used,22088356,15466125
not used,22088357,15466126
not used,22088358,15466127
not used,22088440,15466095
not used,22088441,15466096
not used,22088442,15466092
not used,22088443,15466093
not used,22088444,15466094
not used,22088445,15466186
not used,22088446,15466187
not used,22088447,15466315
not used,22088448,15466316
not used,22088449,15466317
not used,22088450,15466318
not used,22088647,15466320
not used,22088648,15466321
not used,22088651,15466199
not used,22088652,15466200
