cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,403356,15514033
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,403356,15514036
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,403356,15514038
Soybeans,Bu,52,62,62,NA,NA,NA,403356,15514039
Oats,Bu,86,92,93,NA,NA,NA,403356,15514037
Corn,Bu,215,215,215,NA,NA,NA,403356,15514035
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,403356,15514034
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,403442,15514026
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,403442,15514029
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,403442,15514031
Soybeans,Bu,58,61,64,NA,NA,NA,403442,15514032
Oats,Bu,88,91,94,NA,NA,NA,403442,15514030
Corn,Bu,200,210,220,NA,NA,NA,403442,15514028
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,403442,15514027
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,403444,15514061
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,403444,15514064
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,403444,15514066
Soybeans,Bu,61,61,61,NA,NA,NA,403444,15514067
Oats,Bu,85,88,91,NA,NA,NA,403444,15514065
Corn,Bu,212,212,212,NA,NA,NA,403444,15514063
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,403444,15514062
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,403446,15514069
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,403446,15514074
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,403446,15514076
Soybeans,Bu,52,56,60,NA,NA,NA,403446,15514077
Oats,Bu,68,76.5,92,NA,NA,NA,403446,15514075
Corn,Bu,174,193.5,230,NA,NA,NA,403446,15514071
Corn silage,Tons,18,18,18,NA,NA,NA,403446,15514072
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,403446,15514070
Canarygrass hay,Tons,3,3,3,NA,NA,NA,403446,15514073
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,403446,15514068
