featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Ochric epipedon,0,0,0,2,20,23,2,20,23,22087891,12454193
Argillic horizon,2,28,38,46,78,145,44,50,108,22087891,12454194
Ochric epipedon,0,0,0,20,31,40,20,31,40,22087911,12454210
Argillic horizon,20,31,40,76,99,108,36,68,68,22087911,12454211
Ochric epipedon,0,0,0,20,31,40,20,31,40,22087919,12454217
Argillic horizon,20,31,40,76,99,108,36,68,68,22087919,12454218
Mollic epipedon,0,0,0,41,51,65,41,51,65,22088132,12454622
Argillic horizon,45,51,65,95,107,130,50,56,65,22088132,12454623
Aquic conditions,50,51,60,100,107,200,50,56,140,22088132,12454624
Argillic horizon,30,46,64,90,114,174,60,68,110,22088133,12454625
Redox depletions with chroma 2 or less,90,114,174,140,152,200,25,38,75,22088133,12454626
Redox concentrations,60,81,110,140,152,200,50,71,100,22088133,12454627
Mollic epipedon,0,0,0,30,46,64,30,46,64,22088133,12454628
Mollic epipedon,0,0,0,41,51,65,41,51,65,22088136,12454636
Argillic horizon,45,51,65,95,107,130,50,56,65,22088136,12454637
Aquic conditions,50,51,60,100,107,200,50,56,140,22088136,12454638
Argillic horizon,30,46,64,90,114,174,60,68,110,22088137,12454639
Redox depletions with chroma 2 or less,90,114,174,140,152,200,25,38,75,22088137,12454640
Redox concentrations,60,81,110,140,152,200,50,71,100,22088137,12454641
Mollic epipedon,0,0,0,30,46,64,30,46,64,22088137,12454642
Ochric epipedon,0,0,0,10,15,20,10,15,20,22088142,12454649
Cambic horizon,10,15,20,60,84,102,50,69,82,22088142,12454650
Mollic epipedon,NA,0,NA,NA,81,NA,NA,81,NA,22088147,12454657
Cambic horizon,NA,81,NA,NA,119,NA,NA,38,NA,22088147,12454658
Ochric epipedon,0,0,0,10,15,20,10,15,20,22088148,12454659
Cambic horizon,10,15,20,60,84,102,50,69,82,22088148,12454660
Ochric epipedon,0,0,0,13,18,25,13,18,25,22088149,12454661
Argillic horizon,13,18,25,114,152,160,101,134,135,22088149,12454662
Ochric epipedon,0,0,0,8,15,23,8,15,23,22088158,12454695
Cambic horizon,15,20,35,58,70,100,43,50,65,22088158,12454696
Ochric epipedon,0,0,0,8,15,24,8,15,24,22088159,12454697
Argillic horizon,8,15,24,65,140,185,41,125,152,22088159,12454698
Ochric epipedon,0,0,0,8,15,23,8,15,23,22088160,12454699
Cambic horizon,15,20,35,58,70,100,43,50,65,22088160,12454700
Ochric epipedon,0,0,0,8,15,24,8,15,24,22088161,12454701
Argillic horizon,8,15,24,65,140,185,41,125,152,22088161,12454702
Mollic epipedon,0,0,0,90,117,200,90,117,200,22088355,12455142
Cambic horizon,90,102,130,117,132,160,27,30,30,22088355,12455143
Aquic conditions,0,0,0,200,200,200,200,200,200,22088355,12455144
Ochric epipedon,0,0,0,15,18,25,15,18,25,22088358,12455145
Aquic conditions,0,0,0,200,200,200,200,200,200,22088440,12455275
Mollic epipedon,0,0,0,105,130,145,105,130,145,22088440,12455276
Cambic horizon,100,116,130,140,165,180,40,49,50,22088440,12455277
Mollic epipedon,0,0,0,90,117,200,90,117,200,22088442,12455278
Cambic horizon,90,102,130,117,132,160,27,30,30,22088442,12455279
Aquic conditions,0,0,0,200,200,200,200,200,200,22088442,12455280
Mollic epipedon,NA,0,NA,NA,81,NA,NA,81,NA,22088443,12455281
Cambic horizon,NA,81,NA,NA,119,NA,NA,38,NA,22088443,12455282
Mollic epipedon,0,0,0,50,81,100,50,81,100,22088445,12455283
Cambic horizon,50,81,100,75,147,195,25,66,95,22088445,12455284
Aquic conditions,50,81,100,200,200,200,100,119,150,22088445,12455285
Mollic epipedon,0,0,0,90,117,200,90,117,200,22088446,12455286
Cambic horizon,90,102,130,117,132,160,27,30,30,22088446,12455287
Aquic conditions,0,0,0,200,200,200,200,200,200,22088446,12455288
Mollic epipedon,0,0,0,50,71,75,50,71,89,22088447,12455289
Cambic horizon,50,71,89,152,152,200,63,81,150,22088447,12455290
Mollic epipedon,0,0,0,50,81,100,50,81,100,22088448,12455291
Cambic horizon,50,81,100,75,147,195,25,66,95,22088448,12455292
Aquic conditions,50,81,100,200,200,200,100,119,150,22088448,12455293
Mollic epipedon,0,0,0,90,117,200,90,117,200,22088449,12455294
Cambic horizon,90,102,130,117,132,160,27,30,30,22088449,12455295
Aquic conditions,0,0,0,200,200,200,200,200,200,22088449,12455296
Mollic epipedon,0,0,0,90,117,200,90,117,200,22088450,12455297
Cambic horizon,90,102,130,117,132,160,27,30,30,22088450,12455298
Aquic conditions,0,0,0,200,200,200,200,200,200,22088450,12455299
Aquic conditions,0,0,0,200,200,200,200,200,200,22088647,12455602
Mollic epipedon,0,0,0,90,102,110,90,102,110,22088647,12455603
Cambic horizon,90,102,110,110,117,120,10,15,30,22088647,12455604
Ochric epipedon,0,0,0,13,15,25,13,15,25,22088648,12455605
Redox concentrations,13,15,25,33,64,88,21,49,65,22088648,12455606
Aquic conditions,0,0,0,200,200,200,200,200,200,22088651,12455613
Mollic epipedon,0,0,0,110,117,120,110,117,120,22088651,12455614
Cambic horizon,90,102,110,120,132,140,10,30,50,22088651,12455615
Mollic epipedon,0,0,0,60,76,90,60,76,90,22088652,12455616
