taxminalogy,cokey,cotaxfmminkey
mixed,22087231,17401142
mixed,22087232,17401143
mixed,22087233,17401144
mixed,22087234,17401086
mixed,22087244,17400950
montmorillonitic,22087245,17400951
montmorillonitic,22087246,17400952
montmorillonitic,22087247,17400953
montmorillonitic,22087253,17400998
montmorillonitic,22087254,17400999
mixed,22087255,17401000
mixed,22087256,17401022
mixed,22087257,17401023
mixed,22087271,17401082
mixed,22087272,17401083
mixed,22087273,17401087
montmorillonitic,22087274,17401088
mixed,22087275,17401089
mixed,22087287,17400923
mixed,22087288,17400924
mixed,22087289,17401159
montmorillonitic,22087290,17401160
mixed,22087291,17400925
montmorillonitic,22087292,17400926
mixed,22087317,17401001
mixed,22087320,17401169
mixed,22087321,17401004
mixed,22087322,17401005
mixed,22087323,17401006
mixed,22087324,17401007
mixed,22087325,17401008
mixed,22087329,17401014
mixed,22087330,17401015
mixed,22087331,17401016
montmorillonitic,22087345,17401061
mixed,22087346,17401062
mixed,22087353,17401090
montmorillonitic,22087354,17401091
smectitic,22087355,17401092
mixed,22087356,17401093
mixed,22087357,17401177
montmorillonitic,22087358,17401178
smectitic,22087359,17401179
mixed,22087360,17401180
mixed,22087891,17400918
mixed,22087892,17400919
smectitic,22087893,17400920
mixed,22087911,17401124
mixed,22087912,17401125
mixed,22087917,17400913
mixed,22087918,17400914
mixed,22087919,17400915
mixed,22088132,17400890
mixed,22088133,17400891
mixed,22088136,17400892
mixed,22088137,17400893
mixed,22088142,17400896
mixed,22088143,17400897
mixed,22088147,17400898
mixed,22088148,17400899
mixed,22088149,17400900
mixed,22088158,17400929
smectitic,22088159,17400930
mixed,22088160,17400931
smectitic,22088161,17400932
mixed,22088355,17400933
mixed,22088356,17400934
mixed,22088357,17400935
mixed,22088358,17400936
mixed,22088440,17400904
mixed,22088441,17400905
mixed,22088442,17400901
mixed,22088443,17400902
smectitic,22088444,17400903
mixed,22088445,17400996
mixed,22088446,17400997
mixed,22088447,17401131
mixed,22088448,17401132
mixed,22088449,17401133
mixed,22088450,17401134
mixed,22088647,17401136
mixed,22088648,17401137
mixed,22088651,17401009
mixed,22088652,17401010
